Soil,Treatment,Yield,Nuptake,Nrecovery,Puptake,Precovery,NO3,NH4,PO4,ResinP,WaterSolP,TotalP2,pH,EC,OC,CharPRate,CharPerc
Oxbow,Willow10tha,3.45,49.69,15.56,2.78,-0.47,,12.57,2.13,0.05,2.05,534.3,7.7,300,2.59,78500,0.17
Oxbow,CanolaMeal10thaTSP,12.7,87.87,13.28,24.68,12.35,3.49,2.37,2.82,0.17,3.95,579.3,7.72,236,2.67,177000,3.04
Oxbow,CanolaMeal10thaTSP,12.03,83.12,12.49,22.68,11.22,3.1,2.69,2.96,0.18,4.05,624.3,7.71,215,2.65,177001,3.041
Oxbow,CanolaMeal10thaTSP,9.09,65.24,9.53,20.5,9.99,7.38,2.99,3.36,0.17,3.55,568.2,7.74,210,2.62,176999,3.039
Oxbow,CanolaMeal10thaTSP,9.78,78.14,11.66,19.08,9.19,4.92,3.06,,,,676.2,7.72,232,,177000,3.04
Oxbow,CanolaHull10thaTSP,8.46,69.54,16.83,16.82,26.68,5.65,4.55,5.6,0.17,4.15,533.7,7.711,358,2.6,52500,0.55
Oxbow,CanolaHull10thaTSP,7.71,54.72,12.8,14.83,22.88,4.17,4.18,5.53,0.19,5.45,572.7,7.71,366,2.7,52501,0.551
Oxbow,CanolaHull10thaTSP,10.45,63.75,15.25,17.63,28.22,6.21,3.93,4.2,0.13,3.4,477,7.71,331,2.54,52499,0.549
Oxbow,CanolaHull10thaTSP,10.05,61.7,14.7,17.29,27.56,3.7,3.37,4.21,0.18,4.8,546.9,7.71222,283,2.75,52000,0.55
Oxbow,Manure10thaTSP,10.56,69.46,24.81,22.19,NA,3.67,3.14,9.76,0.37,7.8,555.3,7.8,262,2.49,133500,2.17
Oxbow,Manure10thaTSP,12.7,84.71,30.93,27.89,18.78,4.33,4.28,11.74,0.54,8.8,572.4,7.79,243,2.6,133501,2.171
Oxbow,Manure10thaTSP,12.71,77.88,28.19,27.05,18.15,4.17,4.18,9.48,0.25,6.85,579.9,7.8,220,2.8,133499,2.169
Oxbow,Manure10thaTSP,14.47,77.74,28.13,29.23,19.79,,3.52,,0.28,4.2,614.7,7.81,238,2.45,133500,2.17
Oxbow,Willow10thaTSP,12.91,77.37,25.81,17.25,43.07,4.77,3.68,2.13,0.14,2.9,514.8,7.82,210,2.99,33500,0.17
Oxbow,Willow10thaTSP,12.48,71.99,23.82,20.62,53.14,3.66,3.4,2.34,0.1,3.05,524.1,7.82,207,2.76,33501,0.171
Oxbow,Willow10thaTSP,11.15,76.37,25.44,18.57,47.02,2.94,3.53,2.75,0.18,3.55,531.6,7.81,207,2.82,33499,0.169
Oxbow,Willow10thaTSP,10.33,75.49,25.11,18.65,47.25,3.94,3.77,3.19,0.15,3.75,564.6,7.81,222,2.7,33500,0.17
Oxbow,TripleSuperPhosphate,8.39,76.5,34.4,15.52,50.82,8.07,4.35,3.07,0.16,3.15,496.5,7.83,207,2.49,25000,24.6
Oxbow,TripleSuperPhosphate,8.28,66.11,29.21,13.52,42.79,3.35,4.33,3.47,0.17,,550.5,7.81,241,2.49,25001,24.61
Oxbow,TripleSuperPhosphate,9.58,66.37,29.34,13.6,43.12,5.17,4.65,3.51,0.16,3.2,540,7.83,224,2.57,24999,24.59
Oxbow,TripleSuperPhosphate,11.62,74.76,33.53,16.35,54.13,9.18,5.11,2.47,0.18,2.95,554.1,7.86,212,2.43,25000,24.6
