"","Var1","variable","Covariance","treatment"
"269","NH4","PO4",-0.0157593848434069,"CanolaMeal50kgha"
"270","PO4","PO4",0.00219291359825595,"CanolaMeal50kgha"
"271","ResinP","PO4",0.00154893822394837,"CanolaMeal50kgha"
"272","WaterSolP","PO4",0.0081928662400558,"CanolaMeal50kgha"
"273","TotalP2","PO4",0.023187820172947,"CanolaMeal50kgha"
"274","Drywt","ResinP",0.0196389746372194,"CanolaMeal50kgha"
"275","NO3","ResinP",-0.0104282431998614,"CanolaMeal50kgha"
"276","NH4","ResinP",-0.167642967916449,"CanolaMeal50kgha"
"277","PO4","ResinP",0.00154893822394837,"CanolaMeal50kgha"
"278","ResinP","ResinP",0.0187157586156245,"CanolaMeal50kgha"
"279","WaterSolP","ResinP",0.00452986281303708,"CanolaMeal50kgha"
"280","TotalP2","ResinP",0.0588255960607731,"CanolaMeal50kgha"
"281","Drywt","WaterSolP",0.0161030607588387,"CanolaMeal50kgha"
"282","NO3","WaterSolP",0.002291109131426,"CanolaMeal50kgha"
"283","NH4","WaterSolP",-0.0477130853787013,"CanolaMeal50kgha"
"284","PO4","WaterSolP",0.0081928662400558,"CanolaMeal50kgha"
"285","ResinP","WaterSolP",0.00452986281303708,"CanolaMeal50kgha"
"286","WaterSolP","WaterSolP",0.0306987502210334,"CanolaMeal50kgha"
"287","TotalP2","WaterSolP",0.0836031541562301,"CanolaMeal50kgha"
"288","Drywt","TotalP2",0.0883224940657898,"CanolaMeal50kgha"
"289","NO3","TotalP2",-0.0214941369290004,"CanolaMeal50kgha"
"290","NH4","TotalP2",-0.543644711659772,"CanolaMeal50kgha"
"291","PO4","TotalP2",0.023187820172947,"CanolaMeal50kgha"
"292","ResinP","TotalP2",0.0588255960607731,"CanolaMeal50kgha"
"293","WaterSolP","TotalP2",0.0836031541562301,"CanolaMeal50kgha"
"294","TotalP2","TotalP2",0.347434317557643,"CanolaMeal50kgha"
"295","Drywt","Drywt",0.000544406063030233,"Control1"
"296","NO3","Drywt",-0.0233499641938262,"Control1"
"297","NH4","Drywt",-0.0138936685867173,"Control1"
"298","PO4","Drywt",0.00284940961906267,"Control1"
"299","ResinP","Drywt",0.00257654186202586,"Control1"
"300","WaterSolP","Drywt",0.00683895050300076,"Control1"
"301","TotalP2","Drywt",0.0346220845188641,"Control1"
"302","Drywt","NO3",-0.0233499641938262,"Control1"
"303","NO3","NO3",1.78946254772985,"Control1"
"304","NH4","NO3",1.69638788193807,"Control1"
"305","PO4","NO3",-0.189918426069621,"Control1"
"306","ResinP","NO3",-0.182195191666407,"Control1"
"307","WaterSolP","NO3",-0.373230489467493,"Control1"
"308","TotalP2","NO3",-1.56488949353704,"Control1"
"309","Drywt","NH4",-0.0138936685867173,"Control1"
"310","NO3","NH4",1.69638788193807,"Control1"
"311","NH4","NH4",1.89151301499928,"Control1"
"312","PO4","NH4",-0.167276722812206,"Control1"
"313","ResinP","NH4",-0.165871779665879,"Control1"
"314","WaterSolP","NH4",-0.286128471123218,"Control1"
"315","TotalP2","NH4",-0.995204522810772,"Control1"
"316","Drywt","PO4",0.00284940961906267,"Control1"
"317","NO3","PO4",-0.189918426069621,"Control1"
"318","NH4","PO4",-0.167276722812206,"Control1"
"319","PO4","PO4",0.0207312542604353,"Control1"
"320","ResinP","PO4",0.0196450701573936,"Control1"
"321","WaterSolP","PO4",0.0426605105390406,"Control1"
"322","TotalP2","PO4",0.188078604211262,"Control1"
"323","Drywt","ResinP",0.00257654186202586,"Control1"
"324","NO3","ResinP",-0.182195191666407,"Control1"
"325","NH4","ResinP",-0.165871779665879,"Control1"
"326","PO4","ResinP",0.0196450701573936,"Control1"
"327","ResinP","ResinP",0.0187157586156245,"Control1"
"328","WaterSolP","ResinP",0.0396362996140744,"Control1"
"329","TotalP2","ResinP",0.171129006722249,"Control1"
"330","Drywt","WaterSolP",0.00683895050300076,"Control1"
"331","NO3","WaterSolP",-0.373230489467493,"Control1"
"332","NH4","WaterSolP",-0.286128471123218,"Control1"
"333","PO4","WaterSolP",0.0426605105390406,"Control1"
"334","ResinP","WaterSolP",0.0396362996140744,"Control1"
"335","WaterSolP","WaterSolP",0.094014922551915,"Control1"
"336","TotalP2","WaterSolP",0.443034941298348,"Control1"
"337","Drywt","TotalP2",0.0346220845188641,"Control1"
"338","NO3","TotalP2",-1.56488949353704,"Control1"
"339","NH4","TotalP2",-0.995204522810772,"Control1"
"340","PO4","TotalP2",0.188078604211262,"Control1"
"341","ResinP","TotalP2",0.171129006722249,"Control1"
"342","WaterSolP","TotalP2",0.443034941298348,"Control1"
"343","TotalP2","TotalP2",2.20993508382492,"Control1"
"344","Drywt","Drywt",0.257261292136544,"Control2"
"345","NO3","Drywt",-0.162460683901522,"Control2"
"346","NH4","Drywt",0.140438704092765,"Control2"
"347","PO4","Drywt",0.00635413490860828,"Control2"
"348","ResinP","Drywt",-0.0321208885465892,"Control2"
"349","WaterSolP","Drywt",0.176866900774414,"Control2"
"350","TotalP2","Drywt",0.36795920407464,"Control2"
"351","Drywt","NO3",-0.162460683901522,"Control2"
"352","NO3","NO3",0.102594034238705,"Control2"
